Unnamed,Unnamed: 0,key,question,options,survey,Unnamed: 0.1
54,54,SOCIETY_SSM_W92,Do you think same-sex marriages being legal in the U.S. is generally good or bad for our society?,"['Very good for society', 'Somewhat good for society', 'Neither good nor bad for society', 'Somewhat bad for society', 'Very bad for society', 'Refused']",Pew_American_Trends_Panel_W92,
51,51,HARASS2F1_W32,"In the long run, do you think the increased focus on sexual harassment and assault will lead to","['More opportunities for women in the workplace', 'Fewer opportunities for women in the workplace', ""Won't make much of a difference"", 'Refused']",Pew_American_Trends_Panel_W32,
65,65,PQ4_F2Aa_W42,"Thinking about medical doctors, how often would you say they do a good job providing diagnoses and treatment recommendations","['All or most of the time', 'Some of the time', 'Only a little of the time', 'None of the time', 'Refused']",Pew_American_Trends_Panel_W42,
27,27,FTRWORRYe_W41,"Still thinking about the future of our country, how worried are you, if at all, about the moral values of Americans?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']",Pew_American_Trends_Panel_W41,
88,88,PQ8_F2B_W42,"How often, if at all, do you think environmental health specialists face serious consequences if they engage in professional misconduct?","['All or most of the time', 'Some of the time', 'Only a little of the time', 'None of the time', 'Refused']",Pew_American_Trends_Panel_W42,
8,8,GAP21Q4_f_W82,"Do you have a favorable or unfavorable opinion of nato, that is, North Atlantic Treaty Organization","['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Refused']",Pew_American_Trends_Panel_W82,
109,109,TRAITPOLMF1C_W36,"In general, how do you think being ambitious impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']",Pew_American_Trends_Panel_W36,
59,61,GIRLSF2D_W29,"When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to do well in school these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']",Pew_American_Trends_Panel_W29,59.0
64,64,PWMAN2_W49,What is the main reason you do not use a password manager?,"[""Don't know what that is"", 'My passwords are secure enough', ""Don't need it"", 'Too expensive', 'Too complicated', ""Don't trust them"", ""Don't think they are effective"", 'Other reason', 'Offline: does not have internet', 'Refused']",Pew_American_Trends_Panel_W49,
19,21,REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_W26,
