Unnamed,Unnamed: 0,key,question,options,survey,Unnamed: 0.1
12,12,FAMSURV2Wc_W50,"In general, how important, if at all, is having children in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']",Pew_American_Trends_Panel_W50,12.0
62,64,HOOD_NHISB_W29,How much do you agree or disagree with the following statements about your neighborhood? People in this neighborhood can be trusted,"['Definitely agree', 'Somewhat agree', 'Somewhat disagree', 'Definitely disagree', 'Refused']",Pew_American_Trends_Panel_W29,62.0
50,50,RQ4_F1Ca_W42,"Thinking about nutrition research scientists, how often would you say they do a good job conducting research","['All or most of time', 'Some of the time', 'Only a little of the time', 'None of the time', 'Refused']",Pew_American_Trends_Panel_W42,
79,79,RACESURV34d_W43,"Overall, how much has how hard you've worked helped or hurt your ability to get ahead?","['Helped a lot', 'Helped a little', 'Hurt a little', 'Hurt a lot', 'Neither helped nor hurt', 'Refused']",Pew_American_Trends_Panel_W43,
52,52,SOCIETY_WHT_W92,Do you think white people declining as a share of the U.S. population is generally good or bad for our society?,"['Very good for society', 'Somewhat good for society', 'Neither good nor bad for society', 'Somewhat bad for society', 'Very bad for society', 'Refused']",Pew_American_Trends_Panel_W92,
29,29,RQ1_F1B_W42,"In general, would you say your view of environmental research scientists is","['Mostly positive', 'Mostly negative', 'Neither positive nor negative', 'Refused']",Pew_American_Trends_Panel_W42,
49,49,GAP21Q26_a_W82,Would you say the US is doing a good or bad job dealing with global climate change?,"['Very good job', 'Somewhat good job', 'Somewhat bad job', 'Very bad job', 'Refused']",Pew_American_Trends_Panel_W82,
5,5,GAP21Q4_c_W82,Do you have a favorable or unfavorable opinion of Germany,"['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Refused']",Pew_American_Trends_Panel_W82,
20,20,ECON1_W54,"Thinking about the nation's economy, how would you rate economic conditions in this country today?","['Excellent', 'Good', 'Only fair', 'Poor', 'Refused']",Pew_American_Trends_Panel_W54,
42,44,GROWUPGUN2A_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,"['Yes, was a reason', 'No, was not a reason', 'Refused']",Pew_American_Trends_Panel_W26,
53,53,RQ4_F1Cd_W42,"Thinking about nutrition research scientists, how often would you say they are transparent about potential conflicts of interest with industry groups in their research","['All or most of time', 'Some of the time', 'Only a little of the time', 'None of the time', 'Refused']",Pew_American_Trends_Panel_W42,
34,34,GOVPRIOc_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to providing high-quality, affordable health care to all Americans?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_W41,
74,74,REPRSNTREP_W92,How well does the Republican party represent the interests of people like you?,"['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']",Pew_American_Trends_Panel_W92,
108,108,TRAITPOLMF1B_W36,"In general, how do you think being compassionate impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']",Pew_American_Trends_Panel_W36,
73,75,GUNACTIVITYA_W26,"How often, if ever, do you visit websites about guns, hunting or other shooting sports","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']",Pew_American_Trends_Panel_W26,
75,75,INEQ11_W54,"In order to address economic inequality in this country, do you think the government","['Should raise taxes on people like you', 'Should not raise taxes on people like you', 'Refused']",Pew_American_Trends_Panel_W54,
71,71,RACESURV28g_W43,"Would you say that black people are treated less fairly than white people, white people are treated less fairly than black people, or both are treated about equally in when seeking medical treatment situations?","['Black people are treated less fairly than white people', 'White people are treated less fairly than black people', 'Both are treated about equally', 'Refused']",Pew_American_Trends_Panel_W43,
76,76,RACESURV34a_W43,"Overall, how much has being white/Being black/Being Hispanic/Being Asian/Your racial background helped or hurt your ability to get ahead?","['Helped a lot', 'Helped a little', 'Hurt a little', 'Hurt a lot', 'Neither helped nor hurt', 'Refused']",Pew_American_Trends_Panel_W43,
31,31,BILLION_W92,Do you think the fact that there are some people in this country who have personal fortunes of a billion dollars or more is,"['A good thing for the country', 'A bad thing for the country', 'Neither a good thing or a bad thing', 'Refused']",Pew_American_Trends_Panel_W92,
40,40,RQ5_F1B_W42,"Overall, do you think research misconduct by environmental research scientists is","['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all', 'Refused']",Pew_American_Trends_Panel_W42,
21,21,CONCERNCO_W49,"How concerned are you, if at all, about how companies are using the data they collect about you?","['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned', 'Refused']",Pew_American_Trends_Panel_W49,
98,98,WORRY2b_W54,"How often, if ever, do you worry about losing your job?","['Every day', 'Almost every day', 'Sometimes', 'Rarely', 'Never', 'Refused']",Pew_American_Trends_Panel_W54,
82,82,ECON5_g_W54,Do you think the country's current economic conditions are helping or hurting people who are white?,"['Helping a lot', 'Helping a little', 'Hurting a little', 'Hurting a lot', 'Neither helping nor hurting', 'Refused']",Pew_American_Trends_Panel_W54,
66,66,SMARTAPP_W49,How do you typically update the apps on your smartphone?,"['Set them to update automatically', 'Update them yourself as soon as you are notified a new version is available', ""Update them yourself whenever it's convenient"", 'Never install app updates', 'Refused']",Pew_American_Trends_Panel_W49,
38,40,GUNCONTRIBE_W26,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",Pew_American_Trends_Panel_W26,
90,90,FACE3c_W49,"How much, if at all, do you trust the following groups to use facial recognition technology responsibly? Law enforcement agencies","['A great deal', 'Somewhat', 'Not too much', 'Not at all', 'Refused']",Pew_American_Trends_Panel_W49,
25,27,SEENMASC_W29,"On a different topic how important is it to you, personally, to be seen by others as manly or masculine?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",Pew_American_Trends_Panel_W29,25.0
48,50,GUNRESPNOKIDSA_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_W26,
34,34,IMPROVE3_W36,"How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for all Americans?","['A lot', 'Some', 'Not much', 'Nothing at all', 'Refused']",Pew_American_Trends_Panel_W36,
26,26,FAMSURV9c_W50,"How important, if at all, do you think it is for a person to buy a house before getting married?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",Pew_American_Trends_Panel_W50,26.0
70,70,RACESURV28f_W43,"Would you say that black people are treated less fairly than white people, white people are treated less fairly than black people, or both are treated about equally in when voting in elections situations?","['Black people are treated less fairly than white people', 'White people are treated less fairly than black people', 'Both are treated about equally', 'Refused']",Pew_American_Trends_Panel_W43,
78,78,ECON5_c_W54,Do you think the country's current economic conditions are helping or hurting the middle class?,"['Helping a lot', 'Helping a little', 'Hurting a little', 'Hurting a lot', 'Neither helping nor hurting', 'Refused']",Pew_American_Trends_Panel_W54,
64,66,LOCALELECT_W29,"The next question is about local elections, such as for mayor or a school board. Do you","['Always vote in local elections', 'Sometimes vote in local elections', 'Rarely vote in local elections', 'Never vote in local elections', 'Refused']",Pew_American_Trends_Panel_W29,64.0
38,38,RACESURV15b_W43,"Since President Trump was elected, do you think it has become more acceptable or less acceptable for people to express racist or racially insensitive views, or is it about as acceptable as it was before?","['More acceptable', 'Less acceptable', 'About as acceptable', 'Refused']",Pew_American_Trends_Panel_W43,
40,42,GROWUPVIOL_W26,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all', 'Refused']",Pew_American_Trends_Panel_W26,
31,33,GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?","['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']",Pew_American_Trends_Panel_W26,
13,13,HAPPEN2b_W41,How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",Pew_American_Trends_Panel_W41,
9,9,COMMYRS_W32,About how many years have you lived in your local community?,"['Less than 1 year', '1-5 years', '6-10 years', '11-20 years', 'More than 20 years', 'Refused']",Pew_American_Trends_Panel_W32,
77,77,ECON5_b_W54,Do you think the country's current economic conditions are helping or hurting people who are wealthy?,"['Helping a lot', 'Helping a little', 'Hurting a little', 'Hurting a lot', 'Neither helping nor hurting', 'Refused']",Pew_American_Trends_Panel_W54,
86,86,ECON5_k_W54,Do you think the country's current economic conditions are helping or hurting people with college degrees?,"['Helping a lot', 'Helping a little', 'Hurting a little', 'Hurting a lot', 'Neither helping nor hurting', 'Refused']",Pew_American_Trends_Panel_W54,
23,27,EAT5D_W34,"How much health risk, if any, does eating food and drinks with artificial preservatives have for the average person over the course of their lifetime?","['A great deal of health risk', 'Some health risk', 'Not too much health risk', 'No health risk at all', 'Refused']",Pew_American_Trends_Panel_W34,
